id,y
えのきだけ_中国,301.93647982843595
えのきだけ_九州,279.4182381516519
えのきだけ_北海道,281.9088085221696
えのきだけ_北陸,271.5847071646133
えのきだけ_四国,302.74724286399714
えのきだけ_東北,256.57370555087226
えのきだけ_東海,320.9138466166522
えのきだけ_近畿,321.37633449825773
えのきだけ_関東,325.86827088872366
かぶ_北海道,153.3210954603707
かぶ_北陸,174.5132951921164
かぶ_東北,128.63078154518516
かぶ_東海,152.3806791516284
かぶ_近畿,167.6152748514461
かぶ_関東,148.72434722311783
かぼちゃ_中国,215.45759662703685
かぼちゃ_九州,165.41642180595517
かぼちゃ_北陸,262.0582454902465
かぼちゃ_東海,196.59451446692603
かぼちゃ_近畿,206.4967842728047
かぼちゃ_関東,237.9122301381093
かんしょ_中国,257.47985709065466
かんしょ_九州,190.35986428587773
かんしょ_北海道,249.44257063990725
かんしょ_北陸,261.32625168077544
かんしょ_四国,246.8063578283363
かんしょ_東北,205.58660280621635
かんしょ_東海,247.94064189067916
かんしょ_近畿,268.77124658444137
かんしょ_関東,230.66624821219077
きゅうり_中国,425.36305302077983
きゅうり_九州,450.8474180796158
きゅうり_北海道,435.269059466723
きゅうり_北陸,462.5043397321023
きゅうり_四国,462.73849889180417
きゅうり_東北,453.7396808510222
きゅうり_東海,427.5941761684954
きゅうり_近畿,443.7921050830859
きゅうり_関東,463.3764727972611
こまつな_中国,341.2767370002404
こまつな_九州,391.59267784018857
こまつな_北海道,487.0311085110428
こまつな_北陸,386.5007168472173
こまつな_四国,380.5155237126199
こまつな_東北,378.1706498288991
こまつな_東海,404.2726473713488
こまつな_近畿,327.14367966627503
こまつな_関東,366.8880286444139
ごぼう_中国,263.0276739873435
ごぼう_九州,179.48663295387675
ごぼう_北海道,122.86791979858263
ごぼう_北陸,174.49079490128392
ごぼう_四国,189.3735479158081
ごぼう_東北,88.81906906507862
ごぼう_東海,153.20898753824414
ごぼう_近畿,159.94548782402887
ごぼう_関東,173.61124888210276
さといも_中国,258.1473474961257
さといも_九州,252.20446613155252
さといも_北陸,314.6394473789808
さといも_東北,267.1276034059817
さといも_東海,232.8106906706202
さといも_近畿,308.7717815224321
さといも_関東,343.3961667848796
さやいんげん_中国,1130.6803770585846
さやいんげん_九州,1148.8662825913957
さやいんげん_北陸,1119.4265444169869
さやいんげん_四国,1063.4900453640942
さやいんげん_東北,1164.656059080136
さやいんげん_東海,1014.108658262795
さやいんげん_近畿,1073.4452348713482
さやいんげん_関東,935.9315544613886
さやえんどう_近畿,1318.4649362239472
さやえんどう_関東,1307.838940631999
ししとうがらし_中国,1889.98451484758
